initial_condition, time, x, y, z
0, 29.53058, -0.424765, -1.2156222, 18.030706
0, 29.54058, -0.50164175, -1.2506342, 17.561825
0, 29.550581, -0.5750045, -1.2953887, 17.106407
0, 29.560581, -0.64612377, -1.3500805, 16.66418
0, 29.570581, -0.71617097, -1.414977, 16.234915
0, 29.580582, -0.7862356, -1.49043, 15.818421
0, 29.590582, -0.8573413, -1.5768859, 15.4145565
0, 29.600582, -0.9304618, -1.6748942, 15.023224
0, 29.610582, -1.0065359, -1.7851158, 14.6443815
0, 29.620583, -1.0864813, -1.908331, 14.278045
0, 29.630583, -1.1712092, -2.0454466, 13.924298
0, 29.640583, -1.2616365, -2.1975045, 13.583304
0, 29.650583, -1.3586987, -2.3656886, 13.255315
0, 29.660583, -1.4633626, -2.5513332, 12.94069
0, 29.670584, -1.5766371, -2.7559314, 12.639914
0, 29.680584, -1.6995856, -2.9811418, 12.353617
0, 29.690584, -1.833336, -3.2287962, 12.082606
0, 29.700584, -1.9790921, -3.500905, 11.827896
0, 29.710585, -2.1381433, -3.7996614, 11.590744
0, 29.720585, -2.3118734, -4.127441, 11.372701
0, 29.730585, -2.50177, -4.486797, 11.175662
0, 29.740585, -2.7094295, -4.8804502, 11.001933
0, 29.750586, -2.9365633, -5.311266, 10.854302
0, 29.760586, -3.1849976, -5.7822194, 10.736126
0, 29.770586, -3.4566717, -6.2963433, 10.651428
0, 29.780586, -3.7536285, -6.85665, 10.605009
0, 29.790586, -4.0779977, -7.466023, 10.602566
0, 29.800587, -4.431969, -8.127067, 10.650823
0, 29.810587, -4.8177505, -8.841906, 10.757663
0, 29.820587, -5.237508, -9.6119175, 10.932252
0, 29.830587, -5.693282, -10.43739, 11.185144
0, 29.840588, -6.186878, -11.317087, 11.528342
0, 29.850588, -6.719716, -12.247705, 11.975284
0, 29.860588, -7.2926407, -13.223235, 12.540713
0, 29.870588, -7.9056835, -14.234206, 13.240382
0, 29.880589, -8.557772, -15.266863, 14.090504
0, 29.890589, -9.246384, -16.30232, 15.1069
0, 29.900589, -9.96716, -17.315794, 16.303751
0, 29.91059, -10.7134905, -18.276056, 17.691898
0, 29.92059, -11.476102, -19.145332, 19.276691
0, 29.93059, -12.242713, -19.879889, 21.055445
0, 29.94059, -12.997821, -20.431599, 23.014723
0, 29.95059, -13.722712, -20.750729, 25.127821
0, 29.96059, -14.3958025, -20.790016, 27.352983
0, 29.97059, -14.993395, -20.509888, 29.633018
0, 29.98059, -15.490887, -19.884287, 31.896963
0, 29.990591, -15.864417, -18.906164, 34.064205
0, 30.000591, -16.092817, -17.591476, 36.05099
0, 30.010592, -16.159628, -15.980476, 37.778618
0, 30.020592, -16.05489, -14.1355505, 39.181976
0, 30.030592, -15.7763815, -12.135567, 40.216778
0, 30.040592, -15.33007, -10.067619, 40.86393
0, 30.050592, -14.72966, -8.017742, 41.130196
0, 30.060593, -13.995339, -6.0624003, 41.04516
0, 30.070593, -13.151922, -4.262244, 40.655422
0, 30.080593, -12.2267275, -2.6589084, 40.017483
0, 30.090593, -11.2474985, -1.2748162, 39.190735
0, 30.100594, -10.2406225, -0.11534286, 38.23174
0, 30.110594, -9.229805, 0.8276188, 37.19028
0, 30.120594, -8.235234, 1.5716151, 36.107323
0, 30.130594, -7.2732096, 2.1398191, 35.01449
0, 30.140594, -6.3561316, 2.557869, 33.934673
0, 30.150595, -5.49276, 2.8515124, 32.88328
0, 30.160595, -4.6886325, 3.045033, 31.869709
0, 30.170595, -3.946559, 3.160334, 30.898815
0, 30.180595, -3.2671304, 3.2165189, 29.972242
0, 30.190596, -2.6492035, 3.229815, 29.089485
0, 30.200596, -2.090334, 3.2137136, 28.248724
0, 30.210596, -1.5871477, 3.1792293, 27.447433
0, 30.220596, -1.1356514, 3.135212, 26.68281
0, 30.230597, -0.73148066, 3.0886698, 25.952045
0, 30.240597, -0.37009633, 3.0450776, 25.2525
0, 30.250597, -0.046932917, 3.008657, 24.581793
0, 30.260597, 0.24249193, 2.9826238, 23.937841
0, 30.270597, 0.5025001, 2.9694011, 23.318872
0, 30.280598, 0.7372019, 2.9708002, 22.72341
0, 30.290598, 0.9504655, 2.9881716, 22.15025
0, 30.300598, 1.1459023, 3.0225317, 21.59844
0, 30.310598, 1.3268648, 3.0746655, 21.067253
0, 30.320599, 1.4964538, 3.1452115, 20.556164
0, 30.330599, 1.657531, 3.2347286, 20.064838
0, 30.3406, 1.8127378, 3.3437521, 19.593115
0, 30.3506, 1.9645156, 3.472835, 19.141
0, 30.3606, 2.115128, 3.6225817, 18.70867
0, 30.3706, 2.266685, 3.7936726, 18.296469
0, 30.3806, 2.4211643, 3.9868805, 17.904922
0, 30.3906, 2.580434, 4.2030826, 17.53475
0, 30.4006, 2.7462735, 4.4432635, 17.186882
0, 30.4106, 2.920391, 4.708514, 16.86248
0, 30.4206, 3.1044416, 5.0000234, 16.562973
0, 30.430601, 3.3000395, 5.319061, 16.290083
0, 30.440601, 3.5087695, 5.6669555, 16.045866
0, 30.450602, 3.7321935, 6.0450583, 15.832754
0, 30.460602, 3.9718523, 6.454698, 15.6536
0, 30.470602, 4.2292633, 6.8971195, 15.511724
0, 30.480602, 4.505911, 7.373404, 15.410972
0, 30.490602, 4.803229, 7.8843694, 15.355751
0, 30.500603, 5.1225753, 8.430445, 15.351084
0, 30.510603, 5.4651937, 9.011515, 15.402633
0, 30.520603, 5.832166, 9.62673, 15.516715
0, 30.530603, 6.224345, 10.274285, 15.700285
0, 30.540604, 6.6422744, 10.951158, 15.960873
0, 30.550604, 7.0860868, 11.652809, 16.306465
0, 30.560604, 7.5553846, 12.372865, 16.745306
0, 30.570604, 8.0491, 13.102778, 17.285593
0, 30.580605, 8.565333, 13.831511, 17.93505
0, 30.590605, 9.101185, 14.545258, 18.700352
0, 30.600605, 9.652575, 15.227287, 19.586409
0, 30.610605, 10.214079, 15.857943, 20.595474
0, 30.620605, 10.778784, 16.414894, 21.726149
0, 30.630606, 11.338204, 16.873734, 22.972322
0, 30.640606, 11.882277, 17.208961, 24.32217
0, 30.650606, 12.399471, 17.395416, 25.757341
0, 30.660606, 12.877051, 17.410124, 27.252552
0, 30.670607, 13.301498, 17.234453, 28.775755
0, 30.680607, 13.659108, 16.856369, 30.28907
0, 30.690607, 13.93674, 16.272486, 31.750553
0, 30.700607, 14.1226635, 15.489555, 33.11675
0, 30.710608, 14.207425, 14.525067, 34.345818
0, 30.720608, 14.184638, 13.406701, 35.400837
0, 30.730608, 14.051584, 12.170589, 36.25283
0, 30.740608, 13.809544, 10.858564, 36.88302
0, 30.750608, 13.463795, 9.514763, 37.28396
0, 30.760609, 13.023281, 8.182103, 37.459408
0, 30.770609, 12.499991, 6.8991375, 37.42303
0, 30.78061, 11.908132, 5.6976905, 37.196198
0, 30.79061, 11.263198, 4.6014986, 36.805347
0, 30.80061, 10.581064, 3.625859, 36.27931
0, 30.81061, 9.877158, 2.7781382, 35.646935
0, 30.82061, 9.165799, 2.0588837, 34.935272
0, 30.83061, 8.459724, 1.463262, 34.16833
0, 30.84061, 7.769801, 0.9825785, 33.366447
0, 30.85061, 7.1049056, 0.6056964, 32.546124
0, 30.860611, 6.471941, 0.32024354, 31.720217
0, 30.870611, 5.8759565, 0.11356204, 30.89833
0, 30.880611, 5.320331, -0.026600393, 30.087332
0, 30.890612, 4.8069954, -0.11163078, 29.291878
0, 30.900612, 4.3366656, -0.15177992, 28.514914
0, 30.910612, 3.9090755, -0.15603657, 27.758112
0, 30.920612, 3.5231905, -0.13210565, 27.02223
0, 30.930613, 3.177402, -0.08645579, 26.307404
0, 30.940613, 2.869695, -0.024410242, 25.61336
0, 30.950613, 2.5977902, 0.04973982, 24.939587
0, 30.960613, 2.3592627, 0.1326126, 24.28544
0, 30.970613, 2.1516345, 0.22161412, 23.650225
0, 30.980614, 1.9724507, 0.31482273, 23.033245
0, 30.990614, 1.8193353, 0.41088364, 22.433836
0, 31.000614, 1.6900328, 0.50891507, 21.851377
0, 31.010614, 1.5824381, 0.60842645, 21.285307
0, 31.020615, 1.4946158, 0.70924854, 20.735117
0, 31.030615, 1.4248116, 0.8114748, 20.200357
0, 31.040615, 1.3714578, 0.915413, 19.680632
0, 31.050615, 1.3331741, 1.0215461, 19.175594
0, 31.060616, 1.3087645, 1.1305015, 18.684952
0, 31.070616, 1.2972125, 1.2430272, 18.208456
0, 31.080616, 1.2976748, 1.3599744, 17.745903
0, 31.090616, 1.3094738, 1.4822854, 17.297142
0, 31.100616, 1.3320899, 1.6109859, 16.862068
